id,name,base_experience,height,weight,types,abilities,moves,hp,attack,defense,special-attack,special-defense,speed,total_stats,primary_type,secondary_type,height_m,weight_kg,bmi,atk_def_ratio,sp_atk_sp_def_ratio
22,fearow,155,12,380,"normal, flying","keen-eye, sniper","razor-wind, wing-attack, whirlwind, fly, headbutt",65.0,90.0,65.0,61.0,61.0,100.0,442.0,normal,flying,1.2,38.0,26.38888888888889,1.3846153846153846,1.0
23,ekans,58,20,69,poison,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap",35.0,60.0,44.0,40.0,54.0,55.0,288.0,poison,,2.0,6.9,1.725,1.3636363636363635,0.7407407407407407
24,arbok,157,35,650,poison,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap",60.0,95.0,69.0,65.0,79.0,80.0,448.0,poison,,3.5,65.0,5.3061224489795915,1.3768115942028984,0.8227848101265823
25,pikachu,112,4,60,electric,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, double-kick",35.0,55.0,40.0,50.0,50.0,90.0,320.0,electric,,0.4,6.0,37.49999999999999,1.375,1.0
26,raichu,218,8,300,electric,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, mega-kick",60.0,90.0,55.0,90.0,80.0,110.0,485.0,electric,,0.8,30.0,46.87499999999999,1.6363636363636365,1.125
27,sandshrew,60,6,120,ground,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt",50.0,75.0,85.0,20.0,30.0,40.0,300.0,ground,,0.6,12.0,33.333333333333336,0.8823529411764706,0.6666666666666666
28,sandslash,158,10,295,ground,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt",75.0,100.0,110.0,45.0,55.0,65.0,450.0,ground,,1.0,29.5,29.5,0.9090909090909091,0.8181818181818182
29,nidoran-f,55,4,70,poison,"poison-point, rivalry, hustle","scratch, cut, double-kick, headbutt, tackle",55.0,47.0,52.0,40.0,40.0,41.0,275.0,poison,,0.4,7.0,43.74999999999999,0.9038461538461539,1.0
30,nidorina,128,8,200,poison,"poison-point, rivalry, hustle","scratch, cut, double-kick, headbutt, horn-drill",70.0,62.0,67.0,55.0,55.0,56.0,365.0,poison,,0.8,20.0,31.249999999999993,0.9253731343283582,1.0
31,nidoqueen,227,13,600,"poison, ground","poison-point, rivalry, sheer-force","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch",90.0,92.0,87.0,75.0,85.0,76.0,505.0,poison,ground,1.3,60.0,35.50295857988165,1.0574712643678161,0.8823529411764706
32,nidoran-m,55,5,90,poison,"poison-point, rivalry, hustle","cut, double-kick, headbutt, horn-attack, fury-attack",46.0,57.0,40.0,40.0,40.0,50.0,273.0,poison,,0.5,9.0,36.0,1.425,1.0
33,nidorino,128,9,195,poison,"poison-point, rivalry, hustle","cut, double-kick, headbutt, horn-attack, fury-attack",61.0,72.0,57.0,55.0,55.0,65.0,365.0,poison,,0.9,19.5,24.074074074074073,1.263157894736842,1.0
34,nidoking,227,14,620,"poison, ground","poison-point, rivalry, sheer-force","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch",81.0,102.0,77.0,85.0,75.0,85.0,505.0,poison,ground,1.4,62.0,31.632653061224495,1.3246753246753247,1.1333333333333333
35,clefairy,113,6,75,fairy,"cute-charm, magic-guard, friend-guard","pound, double-slap, mega-punch, fire-punch, ice-punch",70.0,45.0,48.0,60.0,65.0,35.0,323.0,fairy,,0.6,7.5,20.833333333333336,0.9375,0.9230769230769231
36,clefable,217,13,400,fairy,"cute-charm, magic-guard, unaware","pound, double-slap, mega-punch, fire-punch, ice-punch",95.0,70.0,73.0,95.0,90.0,60.0,483.0,fairy,,1.3,40.0,23.668639053254434,0.958904109589041,1.0555555555555556
37,vulpix,60,6,99,fire,"flash-fire, drought","headbutt, tackle, body-slam, take-down, double-edge",38.0,41.0,40.0,50.0,65.0,65.0,299.0,fire,,0.6,9.9,27.500000000000004,1.025,0.7692307692307693
38,ninetales,177,11,199,fire,"flash-fire, drought","headbutt, tackle, body-slam, take-down, double-edge",73.0,76.0,75.0,81.0,100.0,100.0,505.0,fire,,1.1,19.9,16.446280991735534,1.0133333333333334,0.81
39,jigglypuff,95,5,55,"normal, fairy","cute-charm, competitive, friend-guard","pound, double-slap, mega-punch, fire-punch, ice-punch",115.0,45.0,20.0,45.0,25.0,20.0,270.0,normal,fairy,0.5,5.5,22.0,2.25,1.8
40,wigglytuff,196,10,120,"normal, fairy","cute-charm, competitive, frisk","pound, double-slap, mega-punch, fire-punch, ice-punch",140.0,70.0,45.0,85.0,50.0,45.0,435.0,normal,fairy,1.0,12.0,12.0,1.5555555555555556,1.7
41,zubat,49,8,75,"poison, flying","inner-focus, infiltrator","razor-wind, gust, wing-attack, whirlwind, fly",40.0,45.0,35.0,30.0,40.0,55.0,245.0,poison,flying,0.8,7.5,11.718749999999998,1.2857142857142858,0.75
42,golbat,159,16,550,"poison, flying","inner-focus, infiltrator","razor-wind, gust, wing-attack, whirlwind, fly",75.0,80.0,70.0,65.0,75.0,90.0,455.0,poison,flying,1.6,55.0,21.484374999999996,1.1428571428571428,0.8666666666666667
43,oddish,64,5,54,"grass, poison","chlorophyll, run-away","swords-dance, cut, headbutt, take-down, double-edge",45.0,50.0,55.0,75.0,65.0,30.0,320.0,grass,poison,0.5,5.4,21.6,0.9090909090909091,1.1538461538461537
44,gloom,138,8,86,"grass, poison","chlorophyll, stench","swords-dance, cut, headbutt, take-down, double-edge",60.0,65.0,70.0,85.0,75.0,40.0,395.0,grass,poison,0.8,8.6,13.437499999999996,0.9285714285714286,1.1333333333333333
45,vileplume,221,12,186,"grass, poison","chlorophyll, effect-spore","swords-dance, cut, headbutt, body-slam, take-down",75.0,80.0,85.0,110.0,90.0,50.0,490.0,grass,poison,1.2,18.6,12.916666666666668,0.9411764705882353,1.2222222222222223
46,paras,57,3,54,"bug, grass","effect-spore, dry-skin, damp","scratch, swords-dance, cut, headbutt, body-slam",35.0,70.0,55.0,45.0,55.0,25.0,285.0,bug,grass,0.3,5.4,60.00000000000001,1.2727272727272727,0.8181818181818182
47,parasect,142,10,295,"bug, grass","effect-spore, dry-skin, damp","scratch, swords-dance, cut, headbutt, body-slam",60.0,95.0,80.0,60.0,80.0,30.0,405.0,bug,grass,1.0,29.5,29.5,1.1875,0.75
48,venonat,61,10,300,"bug, poison","compound-eyes, tinted-lens, run-away","headbutt, tackle, take-down, double-edge, supersonic",60.0,55.0,50.0,40.0,55.0,45.0,305.0,bug,poison,1.0,30.0,30.0,1.1,0.7272727272727273
49,venomoth,158,15,125,"bug, poison","shield-dust, tinted-lens, wonder-skin","razor-wind, gust, whirlwind, headbutt, tackle",70.0,65.0,60.0,90.0,75.0,90.0,450.0,bug,poison,1.5,12.5,5.555555555555555,1.0833333333333333,1.2
50,diglett,53,2,8,ground,"sand-veil, arena-trap, sand-force","scratch, swords-dance, cut, sand-attack, headbutt",10.0,55.0,25.0,35.0,45.0,95.0,265.0,ground,,0.2,0.8,19.999999999999996,2.2,0.7777777777777778
51,dugtrio,149,7,333,ground,"sand-veil, arena-trap, sand-force","scratch, swords-dance, cut, sand-attack, headbutt",35.0,100.0,50.0,50.0,70.0,120.0,425.0,ground,,0.7,33.3,67.9591836734694,2.0,0.7142857142857143
52,meowth,58,4,42,normal,"pickup, technician, unnerve","pay-day, scratch, cut, headbutt, body-slam",40.0,45.0,35.0,40.0,40.0,90.0,290.0,normal,,0.4,4.2,26.249999999999996,1.2857142857142858,1.0
53,persian,154,10,320,normal,"limber, technician, unnerve","pay-day, scratch, cut, headbutt, body-slam",65.0,70.0,60.0,65.0,65.0,115.0,440.0,normal,,1.0,32.0,32.0,1.1666666666666667,1.0
54,psyduck,64,8,196,water,"damp, cloud-nine, swift-swim","mega-punch, pay-day, ice-punch, scratch, mega-kick",50.0,52.0,48.0,65.0,50.0,55.0,320.0,water,,0.8,19.6,30.624999999999996,1.0833333333333333,1.3
55,golduck,175,17,766,water,"damp, cloud-nine, swift-swim","mega-punch, pay-day, ice-punch, scratch, mega-kick",80.0,82.0,78.0,95.0,80.0,85.0,500.0,water,,1.7,76.6,26.505190311418687,1.0512820512820513,1.1875
56,mankey,61,5,280,fighting,"vital-spirit, anger-point, defiant","karate-chop, mega-punch, pay-day, fire-punch, ice-punch",40.0,80.0,35.0,35.0,45.0,70.0,305.0,fighting,,0.5,28.0,112.0,2.2857142857142856,0.7777777777777778
57,primeape,159,10,320,fighting,"vital-spirit, anger-point, defiant","karate-chop, mega-punch, pay-day, fire-punch, ice-punch",65.0,105.0,60.0,60.0,70.0,95.0,455.0,fighting,,1.0,32.0,32.0,1.75,0.8571428571428571
58,growlithe,70,7,190,fire,"intimidate, flash-fire, justified","double-kick, headbutt, body-slam, take-down, thrash",55.0,70.0,45.0,70.0,50.0,60.0,350.0,fire,,0.7,19.0,38.77551020408164,1.5555555555555556,1.4
59,arcanine,194,19,1550,fire,"intimidate, flash-fire, justified","headbutt, body-slam, take-down, double-edge, leer",90.0,110.0,80.0,100.0,80.0,95.0,555.0,fire,,1.9,155.0,42.93628808864266,1.375,1.25
60,poliwag,60,6,124,water,"water-absorb, damp, swift-swim","pound, double-slap, headbutt, body-slam, take-down",40.0,50.0,40.0,40.0,40.0,90.0,300.0,water,,0.6,12.4,34.44444444444445,1.25,1.0
61,poliwhirl,135,10,200,water,"water-absorb, damp, swift-swim","pound, double-slap, mega-punch, ice-punch, mega-kick",65.0,65.0,65.0,50.0,50.0,90.0,385.0,water,,1.0,20.0,20.0,1.0,1.0
62,poliwrath,230,13,540,"water, fighting","water-absorb, damp, swift-swim","pound, double-slap, mega-punch, ice-punch, mega-kick",90.0,95.0,95.0,70.0,90.0,70.0,510.0,water,fighting,1.3,54.0,31.95266272189349,1.0,0.7777777777777778
63,abra,62,9,195,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",25.0,20.0,15.0,105.0,55.0,90.0,310.0,psychic,,0.9,19.5,24.074074074074073,1.3333333333333333,1.9090909090909092
64,kadabra,140,13,565,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",40.0,35.0,30.0,120.0,70.0,105.0,400.0,psychic,,1.3,56.5,33.43195266272189,1.1666666666666667,1.7142857142857142
65,alakazam,225,15,480,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",55.0,50.0,45.0,135.0,95.0,120.0,500.0,psychic,,1.5,48.0,21.333333333333332,1.1111111111111112,1.4210526315789473
66,machop,61,8,195,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch",70.0,80.0,50.0,35.0,35.0,35.0,305.0,fighting,,0.8,19.5,30.468749999999993,1.6,1.0
67,machoke,142,15,705,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch",80.0,100.0,70.0,50.0,60.0,45.0,405.0,fighting,,1.5,70.5,31.333333333333332,1.4285714285714286,0.8333333333333334
68,machamp,227,16,1300,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch",90.0,130.0,80.0,65.0,85.0,55.0,505.0,fighting,,1.6,130.0,50.78124999999999,1.625,0.7647058823529411
69,bellsprout,60,7,40,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip",50.0,75.0,35.0,70.0,30.0,40.0,300.0,grass,poison,0.7,4.0,8.163265306122451,2.142857142857143,2.3333333333333335
70,weepinbell,137,10,64,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip",65.0,90.0,50.0,85.0,45.0,55.0,390.0,grass,poison,1.0,6.4,6.4,1.8,1.8888888888888888
71,victreebel,221,17,155,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip",80.0,105.0,65.0,100.0,70.0,70.0,490.0,grass,poison,1.7,15.5,5.363321799307959,1.6153846153846154,1.4285714285714286
72,tentacool,67,9,455,"water, poison","clear-body, liquid-ooze, rain-dish","swords-dance, cut, bind, headbutt, wrap",40.0,40.0,35.0,50.0,100.0,70.0,335.0,water,poison,0.9,45.5,56.172839506172835,1.1428571428571428,0.5
73,tentacruel,180,16,550,"water, poison","clear-body, liquid-ooze, rain-dish","swords-dance, cut, bind, headbutt, wrap",80.0,70.0,65.0,80.0,120.0,100.0,515.0,water,poison,1.6,55.0,21.484374999999996,1.0769230769230769,0.6666666666666666
74,geodude,60,4,200,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, sand-attack, headbutt",40.0,80.0,100.0,30.0,30.0,20.0,300.0,rock,ground,0.4,20.0,124.99999999999997,0.8,1.0
75,graveler,137,10,1050,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, sand-attack, headbutt",55.0,95.0,115.0,45.0,45.0,35.0,390.0,rock,ground,1.0,105.0,105.0,0.8260869565217391,1.0
76,golem,223,14,3000,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, mega-kick, sand-attack",80.0,120.0,130.0,55.0,65.0,45.0,495.0,rock,ground,1.4,300.0,153.06122448979593,0.9230769230769231,0.8461538461538461
77,ponyta,82,10,300,fire,"run-away, flash-fire, flame-body","stomp, double-kick, headbutt, horn-drill, tackle",50.0,85.0,55.0,65.0,65.0,90.0,410.0,fire,,1.0,30.0,30.0,1.5454545454545454,1.0
78,rapidash,175,17,950,fire,"run-away, flash-fire, flame-body","pay-day, swords-dance, stomp, double-kick, headbutt",65.0,100.0,70.0,80.0,80.0,105.0,500.0,fire,,1.7,95.0,32.871972318339104,1.4285714285714286,1.0
79,slowpoke,63,12,360,"water, psychic","oblivious, own-tempo, regenerator","pay-day, stomp, headbutt, tackle, body-slam",90.0,65.0,65.0,40.0,40.0,15.0,315.0,water,psychic,1.2,36.0,25.0,1.0,1.0
80,slowbro,172,16,785,"water, psychic","oblivious, own-tempo, regenerator","mega-punch, pay-day, ice-punch, stomp, mega-kick",95.0,75.0,110.0,100.0,80.0,30.0,490.0,water,psychic,1.6,78.5,30.664062499999993,0.6818181818181818,1.25
81,magnemite,65,3,60,"electric, steel","magnet-pull, sturdy, analytic","headbutt, tackle, take-down, double-edge, supersonic",25.0,35.0,70.0,95.0,55.0,45.0,325.0,electric,steel,0.3,6.0,66.66666666666667,0.5,1.7272727272727273
82,magneton,163,10,600,"electric, steel","magnet-pull, sturdy, analytic","headbutt, tackle, take-down, double-edge, supersonic",50.0,60.0,95.0,120.0,70.0,70.0,465.0,electric,steel,1.0,60.0,60.0,0.631578947368421,1.7142857142857142
83,farfetchd,132,8,150,"normal, flying","keen-eye, inner-focus, defiant","razor-wind, swords-dance, cut, gust, whirlwind",52.0,90.0,55.0,58.0,62.0,60.0,377.0,normal,flying,0.8,15.0,23.437499999999996,1.6363636363636365,0.9354838709677419
84,doduo,62,14,392,"normal, flying","run-away, early-bird, tangled-feet","swords-dance, wing-attack, whirlwind, fly, jump-kick",35.0,85.0,45.0,35.0,35.0,75.0,310.0,normal,flying,1.4,39.2,20.000000000000004,1.8888888888888888,1.0
85,dodrio,165,18,852,"normal, flying","run-away, early-bird, tangled-feet","swords-dance, wing-attack, whirlwind, fly, jump-kick",60.0,110.0,70.0,60.0,60.0,110.0,470.0,normal,flying,1.8,85.2,26.296296296296294,1.5714285714285714,1.0
86,seel,65,11,900,water,"thick-fat, hydration, ice-body","pay-day, slam, headbutt, horn-drill, body-slam",65.0,45.0,55.0,45.0,70.0,45.0,325.0,water,,1.1,90.0,74.38016528925618,0.8181818181818182,0.6428571428571429
87,dewgong,166,17,1200,"water, ice","thick-fat, hydration, ice-body","pay-day, headbutt, horn-drill, body-slam, take-down",90.0,70.0,80.0,70.0,95.0,70.0,475.0,water,ice,1.7,120.0,41.52249134948097,0.875,0.7368421052631579
88,grimer,65,9,300,poison,"stench, sticky-hold, poison-touch","pound, fire-punch, ice-punch, thunder-punch, headbutt",80.0,80.0,50.0,40.0,50.0,25.0,325.0,poison,,0.9,30.0,37.03703703703704,1.6,0.8
89,muk,175,12,300,poison,"stench, sticky-hold, poison-touch","pound, fire-punch, ice-punch, thunder-punch, headbutt",105.0,105.0,75.0,65.0,100.0,50.0,500.0,poison,,1.2,30.0,20.833333333333336,1.4,0.65
90,shellder,61,3,40,water,"shell-armor, skill-link, overcoat","headbutt, tackle, take-down, double-edge, twineedle",30.0,65.0,100.0,45.0,25.0,40.0,305.0,water,,0.3,4.0,44.44444444444444,0.65,1.8
91,cloyster,184,15,1325,"water, ice","shell-armor, skill-link, overcoat","headbutt, tackle, body-slam, take-down, double-edge",50.0,95.0,180.0,85.0,45.0,70.0,525.0,water,ice,1.5,132.5,58.888888888888886,0.5277777777777778,1.8888888888888888
92,gastly,62,13,1,"ghost, poison",levitate,"fire-punch, ice-punch, thunder-punch, headbutt, disable",30.0,35.0,30.0,100.0,35.0,80.0,310.0,ghost,poison,1.3,0.1,0.05917159763313609,1.1666666666666667,2.857142857142857
93,haunter,142,16,1,"ghost, poison",levitate,"fire-punch, ice-punch, thunder-punch, headbutt, mega-drain",45.0,50.0,45.0,115.0,55.0,95.0,405.0,ghost,poison,1.6,0.1,0.03906249999999999,1.1111111111111112,2.090909090909091
94,gengar,225,15,405,"ghost, poison",cursed-body,"mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",60.0,65.0,60.0,130.0,75.0,110.0,500.0,ghost,poison,1.5,40.5,18.0,1.0833333333333333,1.7333333333333334
95,onix,77,88,2100,"rock, ground","rock-head, sturdy, weak-armor","bind, slam, headbutt, tackle, body-slam",35.0,45.0,160.0,30.0,45.0,70.0,385.0,rock,ground,8.8,210.0,2.711776859504132,0.28125,0.6666666666666666
96,drowzee,66,10,324,psychic,"insomnia, forewarn, inner-focus","pound, mega-punch, fire-punch, ice-punch, thunder-punch",60.0,48.0,45.0,43.0,90.0,42.0,328.0,psychic,,1.0,32.4,32.4,1.0666666666666667,0.4777777777777778
97,hypno,169,16,756,psychic,"insomnia, forewarn, inner-focus","pound, mega-punch, fire-punch, ice-punch, thunder-punch",85.0,73.0,70.0,73.0,115.0,67.0,483.0,psychic,,1.6,75.6,29.531249999999993,1.042857142857143,0.6347826086956522
98,krabby,65,4,65,water,"hyper-cutter, shell-armor, sheer-force","vice-grip, guillotine, swords-dance, cut, slam",30.0,105.0,90.0,25.0,25.0,50.0,325.0,water,,0.4,6.5,40.62499999999999,1.1666666666666667,1.0
99,kingler,166,13,600,water,"hyper-cutter, shell-armor, sheer-force","vice-grip, guillotine, swords-dance, cut, slam",55.0,130.0,115.0,50.0,50.0,75.0,475.0,water,,1.3,60.0,35.50295857988165,1.1304347826086956,1.0
100,voltorb,66,5,104,electric,"soundproof, static, aftermath","headbutt, tackle, take-down, double-edge, sonic-boom",40.0,30.0,50.0,55.0,55.0,100.0,330.0,electric,,0.5,10.4,41.6,0.6,1.0
101,electrode,172,12,666,electric,"soundproof, static, aftermath","headbutt, tackle, take-down, double-edge, sonic-boom",60.0,50.0,70.0,80.0,80.0,150.0,490.0,electric,,1.2,66.6,46.25,0.7142857142857143,1.0
102,exeggcute,65,4,25,"grass, psychic","chlorophyll, harvest","swords-dance, headbutt, take-down, double-edge, psybeam",60.0,40.0,80.0,60.0,45.0,40.0,325.0,grass,psychic,0.4,2.5,15.624999999999996,0.5,1.3333333333333333
103,exeggutor,186,20,1200,"grass, psychic","chlorophyll, harvest","swords-dance, stomp, headbutt, body-slam, take-down",95.0,95.0,85.0,125.0,75.0,55.0,530.0,grass,psychic,2.0,120.0,30.0,1.1176470588235294,1.6666666666666667
104,cubone,64,4,65,ground,"rock-head, lightning-rod, battle-armor","mega-punch, fire-punch, thunder-punch, swords-dance, double-kick",50.0,50.0,95.0,40.0,50.0,35.0,320.0,ground,,0.4,6.5,40.62499999999999,0.5263157894736842,0.8
105,marowak,149,10,450,ground,"rock-head, lightning-rod, battle-armor","mega-punch, fire-punch, thunder-punch, swords-dance, mega-kick",60.0,80.0,110.0,50.0,80.0,45.0,425.0,ground,,1.0,45.0,45.0,0.7272727272727273,0.625
106,hitmonlee,159,15,498,fighting,"limber, reckless, unburden","mega-punch, swords-dance, double-kick, mega-kick, jump-kick",50.0,120.0,53.0,35.0,110.0,87.0,455.0,fighting,,1.5,49.8,22.133333333333333,2.2641509433962264,0.3181818181818182
107,hitmonchan,159,14,502,fighting,"keen-eye, iron-fist, inner-focus","comet-punch, mega-punch, fire-punch, ice-punch, thunder-punch",50.0,105.0,79.0,35.0,110.0,76.0,455.0,fighting,,1.4,50.2,25.61224489795919,1.3291139240506329,0.3181818181818182
108,lickitung,77,12,655,normal,"own-tempo, oblivious, cloud-nine","mega-punch, fire-punch, ice-punch, thunder-punch, swords-dance",90.0,55.0,75.0,60.0,75.0,30.0,385.0,normal,,1.2,65.5,45.486111111111114,0.7333333333333333,0.8
109,koffing,68,6,10,poison,"levitate, neutralizing-gas, stench","headbutt, tackle, body-slam, take-down, flamethrower",40.0,65.0,95.0,60.0,45.0,35.0,340.0,poison,,0.6,1.0,2.7777777777777777,0.6842105263157895,1.3333333333333333
110,weezing,172,12,95,poison,"levitate, neutralizing-gas, stench","headbutt, tackle, body-slam, take-down, flamethrower",65.0,90.0,120.0,85.0,70.0,60.0,490.0,poison,,1.2,9.5,6.597222222222222,0.75,1.2142857142857142
111,rhyhorn,69,10,1150,"ground, rock","lightning-rod, rock-head, reckless","swords-dance, stomp, sand-attack, headbutt, horn-attack",80.0,85.0,95.0,30.0,30.0,25.0,345.0,ground,rock,1.0,115.0,115.0,0.8947368421052632,1.0
112,rhydon,170,19,1200,"ground, rock","lightning-rod, rock-head, reckless","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch",105.0,130.0,120.0,45.0,45.0,40.0,485.0,ground,rock,1.9,120.0,33.2409972299169,1.0833333333333333,1.0
113,chansey,395,11,346,normal,"natural-cure, serene-grace, healer","pound, double-slap, mega-punch, fire-punch, ice-punch",250.0,5.0,5.0,35.0,105.0,50.0,450.0,normal,,1.1,34.6,28.595041322314046,1.0,0.3333333333333333
114,tangela,87,10,350,grass,"chlorophyll, leaf-guard, regenerator","swords-dance, cut, bind, slam, vine-whip",65.0,55.0,115.0,100.0,40.0,60.0,435.0,grass,,1.0,35.0,35.0,0.4782608695652174,2.5
115,kangaskhan,172,22,800,normal,"early-bird, scrappy, inner-focus","pound, comet-punch, mega-punch, fire-punch, ice-punch",105.0,95.0,80.0,40.0,80.0,90.0,490.0,normal,,2.2,80.0,16.52892561983471,1.1875,0.5
